"I","2015-11-03 03:20:27.000",127279,"164-12-1093","ACTV","Kaus","Janeta","O","\N",1,"1940-08-14","6044 Sycamore School Lane","\N","20096","Saskatoon","PA","United States of America","\N","581","277-8136","\N","\N","\N","366-9642","94672","\N","884","047-1175","27212","Janeta.O.Kaus@hush.ai","Janeta.O.Kaus@gawab.com","SK1","MD3"
"I","2015-11-03 09:17:26.000",127300,"646-87-9240","ACTV","Enos","Samual","G","\N",2,"1972-10-06","4178 Bluff Drive","\N","37923","New Orleans","KS","United States of America","1","804","447-5527","73365","\N","474","117-3613","29711","\N","\N","114-1501","\N","Samual.G.Enos@mailvault.com","Samual.G.Enos@shtrudel.biz","ID6","NY3"
"I","2015-11-03 18:59:08.000",127336,"274-11-2871","ACTV","Salem","Edric","U","m",3,"1937-07-24","18972 Elm Lower","Suite 382","V6T 1U4","Jackson","NE","United States of America","\N","\N","799-8785","00810","\N","351","591-1161","\N","\N","\N","\N","\N","Edric.U.Salem@enveloped.org","\N","HI3","IA6"
"I","2015-11-03 22:10:30.000",127349,"859-71-4126","ACTV","Willis","Laural","D","m",3,"1974-01-09","11447 Bernard South","\N","55168","Albuquerque","AL","United States of America","\N","\N","558-2183","\N","\N","\N","\N","\N","\N","\N","\N","\N","Laural.D.Willis@army.com","\N","UT4","CA5"
"I","2015-11-04 04:04:13.000",127368,"589-30-2244","ACTV","Levere","Taryn","\N","M",3,"1945-08-10","5110 Gaylord Lane","\N","19159","West Valley","KS","Canada","1","400","857-8619","\N","\N","\N","\N","\N","\N","\N","\N","\N","Taryn.Levere@gmx.com","\N","NF4","YT8"
"I","2015-11-04 08:46:04.000",127384,"925-06-5105","ACTV","Vosup","Frances","\N","\N",1,"1993-05-04","8144 Hayden Park","\N","78259","Sherbrooke","MD","United States of America","\N","\N","528-9744","\N","\N","\N","\N","\N","\N","\N","\N","\N","Frances.Vosup@teancum.net","Frances.Vosup@deacons.com","BC8","MO5"
"I","2015-11-04 09:23:21.000",127387,"785-58-5746","ACTV","George","Sherwood","\N","m",3,"1975-03-11","10915 Orinda Boulevard","\N","V6E 1S6","Chandler","AZ","United States of America","\N","\N","403-1370","\N","\N","\N","538-9211","\N","\N","\N","\N","\N","Sherwood.George@safe-mail.net","\N","NF8","YT1"
"I","2015-11-04 13:23:45.000",127400,"156-41-3014","ACTV","Bartley","Alanna","\N","M",3,"1976-07-10","16845 Boll Upper","\N","V6R 1U8","Hilo","TN","Canada","1","278","938-0290","\N","\N","\N","\N","\N","\N","\N","\N","\N","Alanna.Bartley@usa.com","\N","MT9","BC2"
"I","2015-11-04 23:34:17.000",127433,"950-88-6343","ACTV","Lasch","Seka","E","\N",3,"1956-11-03","18063 Avalon Drive","Apt. 478","T6D 1J9","Santa Ana","MO","United States of America","\N","211","539-6012","42241","\N","\N","\N","\N","\N","\N","\N","\N","Seka.E.Lasch@gawab.com","Seka.E.Lasch@myfastmail.com","NT5","UT6"
"I","2015-11-05 02:29:39.000",127442,"470-15-6364","ACTV","Rodrigues","Davita","\N","\N",3,"1974-09-04","13345 Nautilus Avenue","\N","97239","Bakersfield","NC","United States of America","\N","\N","666-9051","\N","1","620","983-4325","\N","\N","\N","\N","\N","Davita.Rodrigues@hush.com","\N","SK8","SC4"
"I","2015-11-05 08:26:59.000",127463,"052-48-7426","ACTV","McIntire","Shyam","L","m",2,"1939-12-17","1673 Vance West","\N","63103","Sunnyvale","ME","United States of America","1","492","002-9799","\N","\N","833","278-6205","\N","\N","\N","\N","\N","Shyam.L.McIntire@gmx.com","\N","HI3","NJ6"
"I","2015-11-05 15:03:19.000",127490,"311-74-9002","ACTV","Kaczynski","Salah","L","f",3,"2016-04-29","3636 Wroxton North","\N","95177","Wichita","OR","United States of America","\N","\N","397-2555","\N","\N","\N","871-1550","\N","\N","\N","\N","\N","Salah.L.Kaczynski@lavabit.com","Salah.L.Kaczynski@london.com","WI2","MD4"
"I","2015-11-05 23:47:15.000",127522,"405-31-1154","ACTV","Merrill","Ajoy","H","\N",3,"1955-05-27","12854 La Cienega Street","Apt. 254","80039","Irvine","NH","United States of America","\N","\N","876-5051","\N","\N","\N","896-7532","\N","\N","\N","\N","\N","Ajoy.H.Merrill@consultant.com","\N","HI8","VA4"
"I","2015-11-06 06:16:31.000",127542,"546-35-6973","ACTV","Sibiga","Indiana","\N","f",2,"1936-02-12","2803 Clearwater North","\N","79924","Santa Clara","KS","United States of America","\N","\N","444-1211","\N","\N","318","343-3522","\N","1","399","202-7812","\N","Indiana.Sibiga@taunusstein.net","\N","OK8","MB9"
"I","2015-11-06 11:06:06.000",127562,"234-86-7736","ACTV","Epting","Othilie","V","\N",3,"1919-08-20","292 Sakowitz Road","\N","78749","Edmonton","MO","United States of America","\N","416","037-7682","\N","\N","\N","\N","\N","1","458","428-0156","91039","Othilie.V.Epting@RespectAnimals.com","\N","ND1","MB7"
"I","2015-11-06 13:42:29.000",127570,"740-12-1480","ACTV","McAllum","Sherrie","\N","\N",2,"1927-11-19","9137 Quentin Boulevard","\N","37222","Iqaluit","WA","United States of America","1","966","581-2953","\N","1","547","955-1626","\N","\N","\N","\N","\N","Sherrie.McAllum@soodonims.com","\N","IA9","CA4"
"I","2015-11-06 15:07:10.000",127573,"115-09-7080","ACTV","Poma","Kedah","\N","F",1,"2005-02-24","12491 Carroll Boulevard","\N","27623","Ottawa","WY","United States of America","\N","\N","100-1994","\N","\N","\N","\N","\N","\N","\N","\N","\N","Kedah.Poma@post.com","Kedah.Poma@whale-mail.com","LA2","AL2"
"I","2015-11-06 16:57:07.000",127579,"875-79-0932","ACTV","Langton","Charity","A","f",\\N,"1988-05-15","10014 Mercer Lower","\N","C2B 4X2","Lancaster","RI","Canada","1","781","693-0636","\N","\N","455","928-4618","\N","\N","\N","\N","\N","Charity.A.Langton@operamail.com","Charity.A.Langton@letterbox.org","KY2","ON2"
"I","2015-11-06 21:58:50.000",127599,"258-54-2870","ACTV","Scrantom","Cliff","\N","i",3,"2011-08-30","11872 Crystal Hills Park","\N","V6C 1U4","Knoxville","VT","United States of America","\N","\N","413-6782","\N","1","976","160-7959","16088","\N","\N","\N","\N","Cliff.Scrantom@macgui.com","\N","SC3","UT6"
